Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158336,4.6,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158336,5.0,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158336,13.9,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,taxi services uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158336,4.3,E&M Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,mileage allowance uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158338,48.52,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,hotel & accommodation uk,"people, strategy and higher education - human resources","personal expense, name withheld",158339,117.0,PSHE Devolved Admin-Hotel & Accommodation UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"people, strategy and higher education - human resources","personal expense, name withheld",158339,4.79,PSHE Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"people, strategy and higher education - human resources","personal expense, name withheld",158339,14.4,PSHE Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,"people, strategy and higher education - human resources","personal expense, name withheld",158339,186.6,PSHE Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"people, strategy and higher education - human resources","personal expense, name withheld",158339,18.6,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"people, strategy and higher education - human resources","personal expense, name withheld",158339,26.5,PSHE Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",158340,15.0,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",158340,18.5,Default-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",158340,9.2,Default-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",158343,18.2,BLG Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,mileage allowance uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158344,19.8,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158344,12.0,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158344,40.01,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,other travel,business and science - advanced manufacturing,"personal expense, name withheld",158345,8.7,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,rail travel uk,business and science - advanced manufacturing,"personal expense, name withheld",158345,57.0,BLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",158345,15.0,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",158345,16.05,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,business and science - advanced manufacturing,"personal expense, name withheld",158345,51.59,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",158345,61.6,BLG Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,other travel,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158346,8.45,FCDT Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,subsistence uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158346,15.0,FCDT Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,mileage allowance uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158347,90.0,FCDT Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,other travel,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158347,3.34,FCDT Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,advertising,"skills, deregulation and local growth - cities and local growth",ministry of justice,158360,350.0,BLG Devolved Admin-Advertising,np20 9bb,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,learning and dev - cs skills,"skills, deregulation and local growth - cities and local growth",the apm group ltd,158361,650.0,BLG Devolved Admin-Learning and Dev - CS Skills,hp13 6eq,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,professional training,office of manpower economics - office of manpower economics,imperial college london,158363,290.0,OME Devolved Admin-Professional Training,sw7 2az,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,misc non procurement spend,legal services - legal services,blackwell uk ltd,158364,159.38,Legal Services Admin-Misc Non Procurement Spend,wc1v 6ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,reprographic services,"finance, commercial & digital transformation - estates",acco uk ltd,158366,345.0,FCDT Devolved Admin-Reprographic Services,hp21 8sz,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,central telecommunications services,"finance, commercial & digital transformation - digital directorate",adam phones ltd,158370,24.47,FCDT Devolved Admin-Central Telecommunications Services,w4 2st,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,central telecommunications services,"finance, commercial & digital transformation - digital directorate",adam phones ltd,158370,43.99,FCDT Devolved Admin-Central Telecommunications Services,w4 2st,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,interest receivable - pcs - loans (consolidated fund),shareholder executive - corporate finance practice,post office ltd,158372,-15016.44,POL: Interest on Loans-Interest receivable - PCs - Loans (Consolidated Fund),s49 1pf,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,additions - other loans - public corporations,shareholder executive - corporate finance practice,post office ltd,158372,44000000.0,POL: Voted Loans-Additions - Other Loans - Public Corporations,s49 1pf,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,computer consumables,legal services - legal services,pitney bowes finance ltd,158373,240.91,Legal Services Admin-Computer Consumables,al10 9uj,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,staff transfer/detached duty costs,"people, strategy and higher education - human resources","personal expense, name withheld",158380,1650.0,Default-Staff Transfer/Detached Duty Costs,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,professional subscriptions,"skills, deregulation and local growth - enterprise & skills","personal expense, name withheld",158384,402.0,SDLG Devolved Admin-Professional Subscriptions,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,r & d current grants to private sector - npish,business and science - science and research,stemnet (the science technology engineering and mathematics network),158386,1528295.99,Science & Society: Science and Learning-R & D Current Grants to Private Sector - NPISH,ec2v 5ha,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-27,grant-in-aid to arms length bodies,business and science - business innovation,the technology strategy board (innovate uk),158387,30000000.0,TSB Financing-Grant-In-Aid to Arms Length Bodies,sn2 1ue,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,business and science - infrastructure and materials,"personal expense, name withheld",158389,161.6,B&S Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,business and science - infrastructure and materials,"personal expense, name withheld",158389,20.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,economics & markets - consumer and competition policy,citizens advice bureau,158464,104261.77,Advocacy on Energy and Postal Issues (Levy Funded)-Current Grants To Private Sector - NPISH,ne1 8af,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - business innovation,design council,158465,254548.0,Design Council-Current Grants To Private Sector - NPISH,ec1v 4ab,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,hire of interim managers,"finance, commercial & digital transformation - digital directorate",capita business services ltd,158483,4597.99,FCDT Devolved Admin-Hire of Interim Managers,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,hire of interim managers,"finance, commercial & digital transformation - digital directorate",capita business services ltd,158484,4269.56,FCDT Devolved Admin-Hire of Interim Managers,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,business and science - business innovation,"personal expense, name withheld",158513,223.2,B&S Devolved Admin-Mileage Allowance UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,business and science - business innovation,"personal expense, name withheld",158513,70.4,B&S Devolved Admin-Other Travel,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,business and science - business innovation,"personal expense, name withheld",158513,290.4,B&S Devolved Admin-Rail Travel UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,business and science - business innovation,"personal expense, name withheld",158513,47.62,B&S Devolved Admin-Subsistence UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,business and science - business innovation,"personal expense, name withheld",158513,61.0,B&S Devolved Admin-Taxi Services UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,criminal law and prosecution work,legal services - legal services,simon goodman,158514,55.8,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,sw1h 0et,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,reprographic services,"finance, commercial & digital transformation - estates",williams lea ltd,158519,42694.69,FCDT Devolved Admin-Reprographic Services,wf6 1tn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,technical advice / services & support,shareholder executive - corporate finance practice,linklaters llp,158522,188366.6,Urenco DEL-Technical Advice / Services & Support,ec2y 8hq,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,current grants to private sector - npish,business and science - infrastructure and materials,engineering and machinery alliance ltd,158523,20000.0,MRI: Sponsorship-Current Grants To Private Sector - NPISH,w2 3ps,grant,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,technical advice / services & support,shareholder executive - corporate finance practice,linklaters llp,158542,68585.6,Urenco DEL-Technical Advice / Services & Support,ec2y 8hq,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel,economics & markets - labour market,rosie glazebrook,158543,20.7,Labour Market Emerging Priorities-Rail Travel,w14 0hx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,recruitment advice and services,economics & markets - labour market,rosie glazebrook,158543,1625.0,Labour Market Emerging Priorities-Recruitment Advice and Services,w14 0hx,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,criminal law and prosecution work,legal services - legal services,cornwall street chambers t/a beaumont chambers ltd,158545,1200.0,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,ox1 1hh,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation executive (bre)","personal expense, name withheld",158546,5.55,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation executive (bre)","personal expense, name withheld",158546,60.0,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158547,3.05,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158547,7.2,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158548,111.9,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158548,10.0,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158548,18.2,BLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,592.15,RD: PA Extension-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,33.79,RD: PA Extension-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,185.08,RD: PA Extension-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,466.3,RD: PA Extension-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,9.65,RD: PA Extension-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,40.0,RD: PA Extension-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,64.76,RD: PA Extension-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158551,70.0,RD: PA Extension-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,legal services - legal services,"personal expense, name withheld",158552,3.1,Legal Services Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,legal services - legal services,"personal expense, name withheld",158552,6.5,Legal Services Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,legal services - legal services,"personal expense, name withheld",158552,15.4,Legal Services Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158553,36.0,SDLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158553,5.0,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158553,59.5,SDLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158553,45.0,SDLG Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,economics & markets - europen reform,"personal expense, name withheld",158556,14.4,BLG Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,economics & markets - europen reform,"personal expense, name withheld",158556,16.7,BLG Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,economics & markets - europen reform,"personal expense, name withheld",158556,28.7,BLG Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence overseas,economics & markets - europen reform,"personal expense, name withheld",158557,3.61,BLG Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence overseas,economics & markets - europen reform,"personal expense, name withheld",158557,4.17,BLG Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence overseas,economics & markets - europen reform,"personal expense, name withheld",158557,9.3,BLG Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence overseas,economics & markets - europen reform,"personal expense, name withheld",158557,20.7,BLG Devolved Admin-Subsistence Overseas,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,"skills, deregulation and local growth - cities and local growth","personal expense, name withheld",158558,121.5,BLG Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158559,5.0,E&M Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158559,20.99,E&M Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158559,8.5,E&M Devolved Admin-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158559,2.38,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158559,3.5,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,economics & markets - business frameworks & regional growth fund,"personal expense, name withheld",158559,14.55,E&M Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,business and science - advanced manufacturing,"personal expense, name withheld",158560,15.0,B&S Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158561,21.6,ShEx Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158561,25.0,ShEx Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158561,15.0,ShEx Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158561,19.4,ShEx Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158562,24.0,ShEx Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158562,28.7,ShEx Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158562,29.3,ShEx Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158562,17.2,ShEx Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"people, strategy and higher education - human resources","personal expense, name withheld",158563,9.14,PSHE Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"people, strategy and higher education - human resources","personal expense, name withheld",158563,5.0,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"people, strategy and higher education - human resources","personal expense, name withheld",158563,10.5,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"people, strategy and higher education - human resources","personal expense, name withheld",158563,12.0,PSHE Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"people, strategy and higher education - communications directorate","personal expense, name withheld",158564,1.9,PSHE Devolved Admin-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"people, strategy and higher education - communications directorate","personal expense, name withheld",158564,1.85,PSHE Devolved Admin-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"people, strategy and higher education - communications directorate","personal expense, name withheld",158564,33.0,PSHE Devolved Admin-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,"finance, commercial & digital transformation - digital directorate","personal expense, name withheld",158565,99.0,FCDT Devolved Admin-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,225.0,RD: Welsh Government-Mileage Allowance UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,38.43,RD: Welsh Government-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,other travel,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,89.2,RD: Welsh Government-Other Travel,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,34.0,RD: Welsh Government-Rail Travel UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,35.0,RD: Welsh Government-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,74.31,RD: Welsh Government-Subsistence UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,taxi services uk,"skills, deregulation and local growth - better regulation delivery office","personal expense, name withheld",158566,11.0,RD: Welsh Government-Taxi Services UK,unknown,employee,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,interest receivable - pcs - loans (consolidated fund),shareholder executive - corporate finance practice,post office ltd,158579,-16196.3,POL: Interest on Loans-Interest receivable - PCs - Loans (Consolidated Fund),s49 1pf,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,additions - other loans - public corporations,shareholder executive - corporate finance practice,post office ltd,158579,33000000.0,POL: Voted Loans-Additions - Other Loans - Public Corporations,s49 1pf,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,hotel & accommodation uk,office of manpower economics - office of manpower economics,"personal expense, name withheld",158580,125.0,E&M Devolved Admin-Hotel & Accommodation UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,mileage allowance uk,office of manpower economics - office of manpower economics,"personal expense, name withheld",158580,18.0,E&M Devolved Admin-Mileage Allowance UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rail travel uk,office of manpower economics - office of manpower economics,"personal expense, name withheld",158580,63.15,E&M Devolved Admin-Rail Travel UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,office of manpower economics - office of manpower economics,"personal expense, name withheld",158580,5.0,E&M Devolved Admin-Subsistence UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,subsistence uk,office of manpower economics - office of manpower economics,"personal expense, name withheld",158580,20.0,E&M Devolved Admin-Subsistence UK,unknown,unknown,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,learning and dev - cs skills,business and science - infrastructure and materials,capita business services ltd,158603,1003.0,B&S Devolved Admin-Learning and Dev - CS Skills,dl1 9hn,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,it services,"people, strategy and higher education - communications directorate",the dextrous web ltd t/a dxw,158604,1081.8,Digital Media-IT Services,n1 7ng,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,rentals under non-pfi operating leases - other rentals,business and science - business innovation,savills (uk) ltd,158605,500.0,NMS Other-Rentals Under Non-PFI Operating Leases - Other Rentals,cb2 8pa,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,misc non procurement spend,legal services - legal services,blackwell uk ltd,158606,36.99,Legal Services Admin-Misc Non Procurement Spend,wc1v 6ep,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,publications,legal services - legal services,lexisnexis (a division of relx (uk) ltd),158629,306.39,Legal Services Admin-Publications,sm2 5as,vendor,2016,7
